notegroupID,project_name,phase,has_QA,has_PARTICIPANT,char_len_QA,char_len_PARTICIPANT,char_len_combined,error
1,Helmond de Peel (2025),1,True,True,26160,738,26900,
2,Helmond de Peel (2025),1,True,True,16139,738,16879,
3,Wegen naar Werk (2026),1,True,True,24447,879,25328,
4,Wegen naar Werk (2026),1,True,True,74438,879,75319,
5,Wegen naar Werk (2026),1,True,False,23751,,23751,
6,Wegen naar Werk (2026),1,True,True,28678,895,29575,
7,Wegen naar Werk (2026),1,True,True,31192,895,32089,
8,Wegen naar Werk (2026),1,True,True,63039,895,63936,
9,Wegen naar Werk (2026),1,True,True,36302,895,37199,
10,Wegen naar Werk (2026),1,True,True,33407,895,34304,
11,Den Helder (2025),1,True,False,30999,,30999,
12,Den Helder (2025),1,True,False,9750,,9750,
13,Den Helder (2025),1,True,False,8126,,8126,
14,Zorgcafé Venlo (2025),1,True,False,8540,,8540,
15,Zorgcafé Venlo (2025),1,True,False,16179,,16179,
16,Zorgcafé Venlo (2025),1,True,False,11296,,11296,
17,AMIF Amsterdam (2024),1,True,False,3759,,3759,
18,AMIF Amsterdam (2024),1,True,False,4053,,4053,
19,AMIF Amsterdam (2024),1,True,False,9175,,9175,
20,Waterland Landsmeer (2025),1,True,True,43907,10678,54587,
21,Waterland Landsmeer (2025),1,True,True,75924,10678,86604,
22,Waterland Landsmeer (2025),1,True,True,27025,10678,37705,
23,Waterland Landsmeer (2025),1,True,True,53983,10678,64663,
